ticker,error
SCHM,Quotes not downloaded.
SCHV,Quotes not downloaded.
SCHX,Quotes not downloaded.
SCZ,Quotes not downloaded.
SDOG,Quotes not downloaded.
SDY,Quotes not downloaded.
SIZE,Quotes not downloaded.
SLQD,Quotes not downloaded.
SLY,Quotes not downloaded.
SLYG,Quotes not downloaded.
SLYV,Quotes not downloaded.
SMEZ,Quotes not downloaded.
SMH,Quotes not downloaded.
SMLV,Quotes not downloaded.
SOXX,Quotes not downloaded.
SPHB,Quotes not downloaded.
SPHD,Quotes not downloaded.
SPHQ,Quotes not downloaded.
SPLV,Quotes not downloaded.
SPY,Quotes not downloaded.
SPYG,Quotes not downloaded.
SYE,Quotes not downloaded.
SYG,Quotes not downloaded.
SYV,Quotes not downloaded.
TDTF,Quotes not downloaded.
THD,Quotes not downloaded.
TIP,Quotes not downloaded.
TLT,Quotes not downloaded.
TLTD,Quotes not downloaded.
TUR,Quotes not downloaded.
USCI,Quotes not downloaded.
VAW,Quotes not downloaded.
VB,Quotes not downloaded.
VBR,Quotes not downloaded.
VCLT,Quotes not downloaded.
VCR,Quotes not downloaded.
VCSH,Quotes not downloaded.
VDC,Quotes not downloaded.
VDE,Quotes not downloaded.
VEA,Quotes not downloaded.
VFH,Quotes not downloaded.
VGLT,Quotes not downloaded.
VIOG,Quotes not downloaded.
VIOO,Quotes not downloaded.
VIOV,Quotes not downloaded.
VLU,Quotes not downloaded.
VMBS,Quotes not downloaded.
VNQ,Quotes not downloaded.
VO,Quotes not downloaded.
VOE,Quotes not downloaded.
VONE,Quotes not downloaded.
VONG,Quotes not downloaded.
VOO,Quotes not downloaded.
VOOG,Quotes not downloaded.
VOOV,Quotes not downloaded.
VOT,Quotes not downloaded.
VPU,Quotes not downloaded.
VTHR,Quotes not downloaded.
VTI,Quotes not downloaded.
VTIP,Quotes not downloaded.
VTV,Quotes not downloaded.
VTWG,Quotes not downloaded.
VUG,Quotes not downloaded.
VV,Quotes not downloaded.
VXF,Quotes not downloaded.
VYM,Quotes not downloaded.
WOOD,Quotes not downloaded.
XAR,Quotes not downloaded.
XBI,Quotes not downloaded.
XHE,Quotes not downloaded.
XLB,Quotes not downloaded.
XLE,Quotes not downloaded.
XLU,Quotes not downloaded.
XLY,Quotes not downloaded.
XMLV,Quotes not downloaded.
XSD,Quotes not downloaded.
XSLV,Quotes not downloaded.
XTL,Quotes not downloaded.
YMLI,Quotes not downloaded.
ZROZ,Quotes not downloaded.
